step,pid,tickets,ticks
0,4,30,79
0,5,20,66
0,6,10,12
1,4,30,138
1,5,20,91
1,6,10,26
2,4,30,175
2,5,20,109
2,6,10,36
3,4,30,215
3,5,20,147
3,6,10,48
4,4,30,299
4,5,20,192
4,6,10,70
5,4,30,353
5,5,20,218
5,6,10,76
6,4,30,385
6,5,20,239
6,6,10,81
7,4,30,508
7,5,20,314
7,6,10,124
8,4,30,538
8,5,20,337
8,6,10,138
9,4,30,566
9,5,20,351
9,6,10,150
